komentar,komentar_bersih,label_final,alasan_label
STY memberikan harapan kita tampil di piala dunia dan bintang laut + federasi menghancurkan itu semua . Evaluasi besar besaran bintang laut + federasi nya langsung .,sty harap tampil piala dunia bintang laut federasi hancur evaluasi besar bintang laut federasi langsung,negatif,"Menyatakan harapan dari STY dihancurkan federasi, bernada kecewa/kritik."
Sty kalau sudah ada skuad semewah itu aku jamin arab dan Irak pasti kalah,sty skuad mewah jamin arab irak kalah,positif,Dukungan/keyakinan STY bisa menang dengan skuad yang lebih baik.
kasihan Haye karena cuma ini kesempatannya ke world cup... kalo yg lain masih muda2,kasihan haye sempat world cup kalo muda,negatif,Ungkapan kasihan karena peluang pemain ke Piala Dunia hilang.
Tiap liat namanya P͟U͟L͟A͟U͟W͟I͟N gue langsung pengen tau tapi takut juga 😭,liat nama pulauwin langsung ken takut,netral,Komentar Pulauwin tidak relevan dengan sentimen Timnas.
"iya bro sy se7 pendapat anda , patrick tak lebih baik dari sty",iya sy dapat patrick sty,negatif,Menilai Patrick tidak lebih baik dari STY.
"​ @verijegaman3634 main bola sekkarang terlalu kaku dengan taktik, padahal pemain punya kebebasan",main bola sekkarang kaku taktik pemain bebas,negatif,Kritik terhadap permainan/taktik yang dianggap terlalu kaku.
terima kasih telah mewakili suara pecinta timnas yg waras bang ❤,terima kasih wakil suara cinta timnas waras bang,positif,Mengapresiasi pihak yang mewakili suara suporter Timnas.
"Pahlawan itu kalau menang, kalau kalah ya kalah.",pahlawan menang kalah ya kalah,netral,Pernyataan umum tentang menang dan kalah.
"Tetap Semangats dan Berjuang Lebih keras lagi buat Semua Pemain TIM NASIONAL INDONESIA buat ke Depannya dan Semakin Sukses lagi, Terima Kasih atas Perjuangan dan Kerja Keras buat Semuanya sampai di Round 4 ini, Keberuntungan belum ada di pihak INDONESIA, GBU All🤲🤲🤲❤️❤️❤️🇲🇨🇲🇨🇲🇨💪💪💪",semangats juang keras pemain tim nasional indonesia depan sukses terima kasih juang kerja keras round untung indonesia gbu all,positif,"Dukungan, terima kasih, dan apresiasi untuk perjuangan Timnas."
Nangis😂. Rugi dong londonya😅😅,nang rugi londonya,negatif,Sindiran terhadap pemain yang menangis.
Jude Bellingham trent Alexander Arnold,jude bellingham trent alexander arnold,netral,Hanya menyebut nama pemain tanpa opini jelas.
When Last Child Said ; Setidaknya diriku pernah berjuang . . . . .,when last child said diri juang,positif,"Mengapresiasi perjuangan, bernada positif terhadap proses."
wajib mengundurkan diri demi kehormatan,wajib undur hormat,negatif,Menuntut pengunduran diri demi kehormatan.
"​ @cilung2 Yes, jangan pernah lupakan pembuka lembar sejarah baru timnas Indonesia.",yes lupa buka lembar sejarah timnas indonesia,positif,Mengapresiasi STY sebagai pembuka sejarah baru Timnas.
Fokus ke piala asia,fokus piala asia,netral,Ajakan fokus ke Piala Asia tanpa sentimen jelas.
Out lo liver,out liver,netral,Tidak jelas/kurang konteks terhadap Timnas.
Kegoblokan PSSI sudah mendarah daging😅,goblok pssi darah daging,negatif,Kritik keras kepada PSSI.
Saya setuju sekali sama bung binder...TDK ada yg saya bantah...1000% setuju,tuju bindertdk bantah tuju,positif,Menyatakan sangat setuju dengan analisis Bung Binder.
"Suruh mundur Aj ET, g profesional 😮😡😤",suruh mundur aj et profesional,negatif,Meminta ET mundur dan menyebut tidak profesional.
Kita harus sadar diri bos timnas kita peringkat 119 dunia dan peringkat 20 asia,sadar bos timnas peringkat dunia peringkat asia,netral,Menyampaikan fakta peringkat Timnas tanpa emosi kuat.
"Yang ngomel² paling bocil-bocil IQ 78😂 Nggak ada saat ini ketum PSSI yang lebih baik dari Erick Thohir Mintanya Tisna, waduh....bakal ngeri² sedep timnas dipegang Tisna, gk ngerti politik, dah gitu yg paling penting, pergaulan di dunia sepakbola internasional nggak ada...macam orang cupu😂 Yang ada Tisna sebentar, habis itu diganti Nurdin Halid😂",ngomel bocilbocil iq tum pssi erick thohir minta tisna waduhbakal ngeri sedep timnas pegang tisna ngerti politik dah gitu gaul dunia sepakbola internasional adamacam orang cupu tisna sebentar habis ganti nurdin halid,positif,Membela Erick Thohir sebagai ketum PSSI yang lebih baik dibanding alternatif lain.
Towelasu Kemana Dia Yahh,towelasu mana yahh,netral,Pertanyaan/komentar tidak jelas soal Towelasu.
"patrik menangis terharu bukan karena timnas kalah, tp menang taruhan, timnas buat tumbal patrik ketum PSSI",patrik menang haru timnas kalah menang taruh timnas tumbal patrik tum pssi,negatif,Menuduh Patrick dan PSSI menjadikan Timnas tumbal/taruhan.
"Ah akhirnya usai sudah Mau kritik sedikit soal podcast dan beberapa pemain timnas. Inilah sebenernya sesuatu yang selama ini janggal di hati dan rasionalitas saya akhirnya muncul ke permukaan. Ego tom haye, diluar dan dalam pertandingan hehe. Joey yang ..... lambat. Semua pemain liga 1 yang ga bisa perform (haye sama eliano juga hehe) kecuali ridho sih. Salut untuk semua pemain yang abroad, lokal atau naturalisasi. 2030 adalah era emasnya nya nathan, ivar, mauro, el preman, ridho, marcheng dan beberapa pemain abroad akan AKAN MUNCUL KEMBALI dibawah pelatih baru, Masih ada jay yang... (ga bisa ngomong apa apa lagi saya), dean yang terkilir angkel nya tapi masih tangguh, verdonk yang luar biasa dan akan tetap luar biasa untuk 10 tahun lagi.",ah kritik podcast pemain timnas sebenernya janggal hati rasionalitas muncul muka ego tom haye luar tanding joey lambat pemain liga perform haye eliano kecuali ridho salut pemain abroad lokal naturalisasi era emas nathan ivar mauro el preman ridho marcheng pemain abroad muncul bawah pelatih jay ngomong dean kilir angkel tangguh verdonk,positif,Apresiasi kepada beberapa pemain dan harapan era emas mendatang.
Duh uda lah jngn sty di Ulsan aja di pecat,duh uda jngn sty ulsan pecat,negatif,Kritik terhadap STY dengan menyebut di Ulsan dipecat.
Helaan nafas orang lebay yg ndak realistis.... Ndak bisa Terima kenyataan.,hela nafas orang lebay ndak realistis ndak terima nyata,negatif,Kritik terhadap orang yang dianggap lebay dan tidak realistis.
"Yg pertama kali yg plg bertanggung jawab adalah mereka2 yg memuja lokal pride diawal2 masuknya anak2 diaspora itu...semakin ribut & semakin ramai,meski sudah dikounter dgn kalimat2 takdirpun gak diam juga tuh pemuja2 lokal pride.ditambah lagi cocotnya towel,justin & kamal membesarkan keributan dgn mengotori otak fans garuda dgn menjelek jelekkan STY..PSSInya juga cuma punya mental krupuk..lebih milih suara2 bodoh daripada suara2 yg mengedepankan fakta & logika...akhirnya terjadilah skenario2 sampa agar sty bisa difitnah spy bisa dijegal... Dan saya mmg setuju,kalo mmg harus gagal kenapa gak sama STY aja...setidaknya mimpi2 kita itu tidak terbunuh dgn sekeji ini..",kali plg tanggung puja lokal pride awal masuk anak diaspora itusemakin ribut ramaimeski dikounter kalimat takdir diam tuh puja lokal prideditambah cocotnya toweljustin kamal besar ribut kotor otak fans garuda jelek jelek stypssinya mental krupuklebih milih suara bodoh suara depan fakta logikaakhirnya skenario sampa sty fitnah spy jegal mmg setujukalo mmg gagal sty ajasetidaknya mimpi bunuh keji,negatif,"Berisi kritik, kekecewaan, atau sindiran terhadap pelatih, PSSI, Erick Thohir, Patrick/Kluivert, atau kegagalan Timnas."
Selamat kpd erik dan towel,selamat kpd erik towel,negatif,Ucapan selamat bernada sarkas kepada Erick dan Towel.
"Untuk semua para pemain tanpa terkecuali, terima kasih sudah berjuang untuk negara ini, mari berjuang kembali di piala dunia berikutnya. Tetap semangat.",pemain kecuali terima kasih juang negara mari juang piala dunia semangat,positif,Mengucapkan terima kasih dan memberi semangat kepada pemain.
ETH out PK out,eth out pk out,negatif,Dukungan negatif agar ET dan PK keluar.
"Maen sedikit bertahan dan counter attack...itu yg dilakukan STY bawa korsel kalahkan jerman di piala dunia... STY tanpa romeny, pelupessy, miliano, zilstra, emil bisa kalahkan arab saudi 2 -0.. Kluivert..pelatih oblok ini mah...",maen tahan counter attackitu sty bawa korsel kalah jerman piala dunia sty romeny pelupessy miliano zilstra emil kalah arab saudi kluivertpelatih oblok mah,negatif,"Berisi kritik, kekecewaan, atau sindiran terhadap pelatih, PSSI, Erick Thohir, Patrick/Kluivert, atau kegagalan Timnas."
"​ @LieslMorningstar Pola manajemen di klub dan timnas itu beda, gak bisa disamaratakan, gak apple to apple dibandingkan.",pola manajemen klub timnas beda disamaratakan apple to apple banding,netral,Penjelasan netral bahwa pola manajemen klub dan timnas berbeda.
"Yah ..Sportmanship...biasa kalah menang...jadi biasa saja jg ganti pelatih.. Cuma kalo tuntutan tanggung jawab versi Podcast ini..Malah bisa kontraproduktif..Kalo Patrick diganti ""wajar"" tapi jika arahnya ke Erick Tohir all in..berlebihan. Juga krn hanya klaim ..spt bhw ET ini projeknya ..kan belum tentu dr ET. So kita semua bisa lebih bijak..sesedih dan sekecewa apapun ..",yah sportmanshipbiasa kalah menangjadi jg ganti pelatih kalo tuntut tanggung versi podcast inimalah kontraproduktifkalo patrick ganti wajar arah erick tohir all inberlebihan klaim spt bhw et projeknya et so bijaksesedih kecewa apa,netral,Komentar berusaha menyeimbangkan pandangan dan meminta lebih bijak.
Definisi ketika sekolah belum dibangun tapi bro sudah berkelas. ❤❤❤,definisi sekolah bangun kelas,positif,Bernada apresiasi/pujian dengan kata berkelas dan emotikon hati.
"Makanya jangan Ashobiyah terlalu umbar umbar janji sih waktu di awal awal sebelum nya ujung ujungnya miris kan gagal lolos ke piala dunia karena gara gara para pemain timnas yang main bola nya tidak kompak dan ceroboh dan Melakukan kesalahan demi kesalahan yang dilakukan oleh para pemain timnas Indonesia artinya itu kelalaian para pemain timnas Indonesia Jadi intropeksi diri lah dan evaluasi hadeh 😓 Keterangan: Saya paham maksud Anda. Anda merasa bahwa terlalu banyak janji yang tidak diiringi dengan hasil yang memuaskan, dan Anda menyoroti kesalahan-kesalahan yang dilakukan oleh para pemain timnas Indonesia. Anda berharap bahwa timnas Indonesia dapat melakukan introspeksi diri dan evaluasi untuk meningkatkan kualitas permainan mereka di masa depan. Terima kasih atas pendapat Anda!",ashobiyah umbar umbar janji ujung ujung miris gagal lolos piala dunia gara gara pemain timnas main bola kompak ceroboh salah salah pemain timnas indonesia lalai pemain timnas indonesia intropeksi evaluasi hadeh terang paham maksud janji iring hasil muas sorot kesalahankesalahan pemain timnas indonesia harap timnas indonesia introspeksi evaluasi tingkat kualitas main terima kasih dapat,negatif,Kritik terhadap pemain dan kegagalan lolos.
Erik Tohir pante,erik tohir pante,negatif,Umpatan/kritik terhadap Erick Thohir.
Smangat terus.... Boleh sedih....intropeksi diri sendiri .... Tp tetap smangat....,smangat sedihintropeksi smangat,positif,Tetap memberi semangat meskipun sedih.
Yaakk GUA SETUJU!!!,yaakk tuju,positif,Menyatakan persetujuan kuat.
Kecium bgt berarti sebuah konsep “sepakbola Indonesia maju gara-gara gw” nya😂,cium konsep sepakbola indonesia maju garagara,negatif,Menyindir konsep klaim kemajuan sepak bola karena pihak tertentu.
"GUE SIH GABAKAL MILIH GAGAL SAMA SIAPAPUN, BAKAL KECEWA SIAPAPUN PELATIHNYA, INTINYA INI BUKAN HANYA KARENA PELATIH, TAPI EMANG MAFIA AFC YANG JELAS MEMISAHKAN QATAR DAN ARAB SATU GRUP DGN MENENTUKAN SM2 POT 1 WKWK LAGANYA DI ARAB KEMUDIAN WASITNYA JD LEBIH CONDONG KE NEGARA ARAB/TIMUR TENGAH. EMG AFC GAPENGEN INDO MENANG SIH, LIAT AJA ET UDAH SURATIN SOAL, TAPI KEJADIAN LAGI WASIT SEPERTI SAAT LAWAN BAHRAIN WKWWKK",gabakal milih gagal kecewa latih inti pelatih emang mafia afc pisah qatar arab grup tentu pot laga arab wasit condong negara arabtimur emg afc gapengen indo menang liat et udah suratin jadi wasit lawan bahrain wkwwkk,negatif,Mengkritik AFC/wasit dan mengungkapkan kekecewaan atas kegagalan.
"Saya cuman Mau Katakan ""MIMPI KE PIALA DUNIA ITU HADIR KETIKA MENANG ATAS ARAB 2-0"". Tetap Bangga Sama Pasukan Garuda & PSSI yg telah membawa Harapan. Tatap ke PLAN selanjutnya Piala Asia.",cuman mimpi piala dunia hadir menang arab bangga pasu garuda pssi bawa harap tatap plan piala asia,positif,Tetap bangga kepada Garuda/PSSI dan melihat rencana berikutnya.
Indonesia sudah bermain yang terbaik kali ini...Jauh lebih baik dibanding saat lawan Saudi Arabia. Tetap semangat kawan.,indonesia main baik kali inijauh banding lawan saudi arabia semangat kawan,positif,Menilai permainan membaik dan memberi semangat.
Karena pemain muda kurang di beri kesempatan oleh klub mereka lebih cenderung beli pemain asing pemain Italia terakhir yang jadi topskor liga aja Ciro Immobile 2021-2022 setelah itu tidak ada lagi kalo Retegui keturunan Italia tapi dia lahir di argentina,pemain muda sempat klub cenderung beli pemain asing pemain italia topskor liga ciro immobile kalo retegui turun italia lahir argentina,netral,"Membahas faktor pemain muda/klub Italia, tidak langsung ke sentimen Timnas."
"harus bersabar kembali, meskipun sangat kecewa semoga yg akan datang pemain memang benar benar berjuang untuk kemenangan.",sabar kecewa moga pemain juang menang,positif,"Mengandung kekecewaan, tetapi ditutup dengan harapan dan dukungan."
link nya bro mana coba share biar gak jadi fitnah,link coba share biar fitnah,netral,Meminta link/bukti agar tidak menjadi fitnah.
"Kita kalah tapi hati kita menang pemain luar biasa ini pemain pemain terbaik yg pernah Indonesia miliki. Hanya perjalanan yg tidak berpihak kita, saya yakin ini kwalitas awal tim nasional akan lebih bagus ke depan.",kalah hati menang pemain pemain pemain baik indonesia milik jalan pihak kwalitas tim nasional bagus,positif,Bangga pada pemain dan optimis kualitas tim makin baik.
Ya sama. Permainan sty lebih menghibur dgn kualitas pemain yg belum lengkap kyk skrng,ya main sty hibur kualitas pemain lengkap kyk skrng,positif,Memuji permainan era STY yang lebih menghibur.
Sampai jumpa kawan 5 tahun kedepan di piala dunia kemudian :(,jumpa kawan depan piala dunia,negatif,Nada sedih karena harus menunggu Piala Dunia berikutnya.
"Dah ya kawan2,cukup main king-kingan nya,kita balik lagi sama kawan2 lama asean kita.",dah ya kawan main kingking nyakita kawan asean,negatif,Sindiran bahwa Timnas kembali ke level ASEAN.
Gagal itu adalah takdir 🗿,gagal takdir,netral,Pernyataan menerima kegagalan sebagai takdir tanpa emosi kuat.
Kalau mau maju ya reformasi sepakbola Indonesia. Kalau cuma modal Naturalisasi terus 2030 masuk pildun? MIMPI 😂,maju ya reformasi sepakbola indonesia modal naturalisasi masuk pildun mimpi,negatif,Mengkritik naturalisasi dan menuntut reformasi sepak bola.
​ @kenspotchannel podcast nya thom haye itu,podcast thom haye,netral,Memberi informasi tentang podcast Thom Haye.
"Lu aja deh keknya yg terlalu terbius sama berita tim kepelatihan indo bg, kalo saya dr awal emang berharap indo lolos, tp juga sadar diri. Sadar diri bagi saya itu penting",kek bius berita tim latih indo bg kalo emang harap indo lolos sadar sadar,netral,Komentar realistis dan berharap Indonesia lolos tanpa emosi dominan.
Nggak gitu ngimongnya bro. Dia ngomong ekspekatsi untuk lolos pildun 2026 itu berlwbihan karena targetnya lolos 2030.,gitu ngimongnya ngomong ekspekatsi lolos pildun berlwbihan target lolos,netral,"Penjelasan bahwa target lolos 2026 dianggap berlebihan, lebih netral."
"gua subuh2 nangis kejer, sampe istri kebangun ...:face-purple-crying:",subuh nang kejer sampe istri bangun facepurplecrying,negatif,Ungkapan sedih sampai menangis.
Erik Thohir dan Arya Sinulingga harus out dari PSSI dan pecat Kluivert,erik thohir arya sinulingga out pssi pecat kluivert,negatif,"Seruan out untuk Erick, Arya, dan Kluivert."
"😂😂😂😂😂😂...konoha negara yang penuh drama, dan raja nya koruptorr,,,,....😂😂😂😂😂....",konoha negara penuh drama raja koruptorr,negatif,Kritik terhadap negara penuh drama dan korupsi.
Terima kasih atas perjuangannya selama 3 tahun🥹 tetap tegakkan kepala kami tetap bangga dengan kalian semua cinta ini takkan pernah padam untukmu Garuda walaupun gagal untuk sekian kalinya🥹🇮🇩,terima kasih juang tegak kepala bangga cinta tak padam untuk garuda gagal sekian kali,positif,"Berisi terima kasih, kebanggaan, dan dukungan kepada Garuda meskipun gagal."
Kalah sama negara cape verde 😂😂😂😂😂😂 Negara antah berantah seperti cape verde aja lolos piala dunia,kalah negara cape verde negara antah antah cape verde lolos piala dunia,negatif,Membandingkan negatif dengan Cape Verde yang lolos.
"​ @Saya-q3v ERICK Tohir itu pebisnis ,, semua pasti dibisniskan sama dia ,, termasuklah para pemain2 naturalisasi itu kan bisnis dia ... Betul lah kata guru ekonomi saya disekolah dulu : ""JANGAN PERNAH PILIH PEMIMPIN DARI SEORANG PEBISNIS, KARENA HIDUP NYA TIDAK AKAN JAUH2 DARI BISNIS"" Jadi kita jgn terlalu polos ,, faktanya ada perputaran judi besar yg dibisniskan melalui sepak bola.. Emangnya kita yakin para pemain naturalisasi itu seutuhnya tidak bisa dibisniskan sehingga bisa diatur untuk menang atau kalah ?? Ini Indonesia bro ,, dimana mafia dan bisnis selalu bergandengan tangan 😂😂😂",erick tohir bisnis bisnis masuk pemain naturalisasi bisnis guru ekonomi seko pilih pimpin bisnis hidup bisnis jgn polos fakta putar judi bisnis sepak bola emang pemain naturalisasi utuh bisnis atur menang kalah indonesia mana mafia bisnis gandeng tangan,negatif,"Kritik keras terhadap Erick Thohir, bisnis, dan mafia sepak bola."
Ngakak😂,ngakak,netral,Hanya ekspresi tertawa tanpa opini jelas.
Bhaha dia emg gitu gw suka😂,bhaha emg gitu suka,positif,Komentar bernada suka/pujian terhadap pembahasan.
Oleh dan jonatan harusnya main dri awal...karena kita harus berburu gol cepat...,jonatan main dri awalkarena buru gol cepat,netral,Saran taktik pemain sejak awal.
​ @ApriYadi-zd2sv betul bro❤,zd sv,netral,Persetujuan singkat tanpa konteks sentimen jelas.
Knp ujung2 nya sty lagi🤦‍♂️,ujung sty,netral,Pertanyaan/keluhan mengapa pembahasan kembali ke STY.
"​ @Van_Buitenzorg betul Mase,sebetulnya PSSI dan jajarannya yg hrs tnggjwb Seharus mundur itu pun kalau mereka punya malu",masesebetulnya pssi jajar hrs tnggjwb harus mundur malu,negatif,Kritik agar PSSI dan jajarannya bertanggung jawab/mundur.
"Kecewa sih iya, tapi masih ada kesempatan kedepannya. Semangat terus dan belajar dari kekalahan untuk lebih baik kedepannya. Bravo Garuda.",kecewa iya sempat depan semangat ajar kalah depan bravo garuda,positif,Kecewa tetapi tetap memberi semangat dan dukungan.
Ya saya ada rasa curiga juga mas👌👍👍,ya curiga mas,negatif,Mengungkapkan rasa curiga terhadap situasi yang terjadi.
"Niat hati ganti sty dengan pk biar klo masuk pildun dia yg bakal di banggakan masyarakat, buat modal pilres eh malah zonk 😅😅😅.. opini yee",niat hati ganti sty pk biar masuk pildun bangga masyarakat modal pilres zonk opini yee,negatif,"Berisi kritik, kekecewaan, atau sindiran terhadap pelatih, PSSI, Erick Thohir, Patrick/Kluivert, atau kegagalan Timnas."
"Kesempatan untuk ke piala dunia ditempuh dg cara yg tidak mudah udh selangkah lagi malah gugur. Pildun 2030 akan tambah susah dan ngga akan bisa juga masuk kualifikasi kayak skrg. Cuman skrg kesempatan nya bukan 2030, melihat grafik timnas yg merosot",sempat piala dunia tempuh dg mudah udh selang gugur pildun susah ngga masuk kualifikasi skrg cuman skrg sempat grafik timnas merosot,negatif,Pesimis kesempatan Piala Dunia berikutnya dan grafik Timnas menurun.
​ @bung_oks terutama hrs berani away maennya pas jeda internasional jngan home mulu,hrs berani away maennya jeda internasional jngan home mulu,netral,Saran teknis agar berani bermain away saat jeda internasional.
Ga sekalian pak Prabowo jugaa? Respect pemain timnas Indonesia pelatih ofisial dan PSSI,prabowo jugaa respect pemain timnas indonesia pelatih ofisial pssi,positif,"Memberi respect kepada pemain, pelatih, official, dan PSSI."
Para pemain sudah bermain all out...!❤,pemain main all out,positif,Mengapresiasi pemain yang sudah bermain all out.
Italia gagal atau tidak piala eropa Indonesia gagal piala Asia,italia gagal piala eropa indonesia gagal piala asia,netral,Menyebut fakta kegagalan tanpa emosi yang kuat.
Berterima kasihlah kepada pelatih Patrick Kluivert karena berkat beliau Indonesia bisa sampai sejauh ini dan makin go Internasional. CATATAN: TARGET NYA PAK ET JELAS BAHWA INDONESIA LOLOS KE PIALA DUNIA 2030. BUKAN 2026.,terima kasih pelatih patrick kluivert berkat beliau indonesia go internasional catat target et indonesia lolos piala dunia,positif,Membela Patrick dan menekankan target 2030.
​ @ArmanVirdansyah lu tahu alasan ET pecat STY? apakah alasannya gak bagus?,alas et pecat sty alas bagus,netral,Pertanyaan tentang alasan pemecatan STY.
Nggak ada calon Ketum PSSI yang lebih baik daripada Erick Thohir!,calon tum pssi erick thohir,positif,Dukungan kepada Erick Thohir sebagai ketum PSSI.
Bahkan bisa lebih bang,bang,positif,Dukungan/keyakinan hasil bisa lebih baik.
​ @harrypratama3912 lebih baik berterima kasih sewaktu sudah lolos dipildun walaupun kalah,terima kasih lolos dipildun kalah,netral,Pernyataan bersyarat/umum tentang terima kasih setelah lolos.
"​ @Pvblikenemy bukan fans kenyataan nya permainan zaman sty lebih baik, tiki taka menghibur, serangan balik lebih berbahaya.. Tinggal penyelesaian akhir aja kureng. Cba materi pemain sdh sprti PK ni pasti tambah di babat saudi & irak",fans nyata main zaman sty tik taka hibur serang bahaya tinggal selesai reng cba materi pemain sdh sprti pk ni babat saudi irak,negatif,Membandingkan era STY lebih baik dan mengkritik kondisi PK.
"Harusnya,,, U23 kemarin Jadi tulang punggung Timnas Pelatih dipecat Anak didik ikut terimbas",kemarin tulang punggung timnas pelatih pecat anak didik imbas,negatif,Mengkritik dampak pemecatan pelatih terhadap Timnas U23.
Pretttt😂,pretttt,negatif,Komentar sindiran/penolakan terhadap pendapat sebelumnya.
"Bukan salah pelatihnya..indo harus sabar 20 THN lagi, supaya bisa masuk piala Dunia... PSSI Prettt...",salah pelatihnyaindo sabar thn masuk piala dunia pssi prettt,negatif,Kritik terhadap PSSI dengan nada kecewa.
Komen terbodoh sekabupaten,komen bodoh kabupaten,negatif,Menghina komentar orang lain.
Main sepak bola yg paling penting bisa nyetak gol sebanyak banyaknya . Menyerang mendominasi permainan nggak ada gunanya kalau cuma bisa nyetak gol dari tendangan finalti doang. .,main sepak bola nyetak gol banyak serang dominasi main guna nyetak gol tendang finalti doang,negatif,Kritik terhadap efektivitas permainan Timnas.
Asian cup 2027 menanti🎉🎉🎉,asi cup,positif,Menyambut Asian Cup 2027 dengan emoji perayaan/harapan.
Sty lbh bagus sdh membawa sepak bola kita jd macan asean..,sty lbh bagus sdh bawa sepak bola macan asean,positif,Memuji STY telah membawa sepak bola Indonesia lebih baik.
Apa nama podcast nya?,nama podcast,netral,Pertanyaan nama podcast.
Kapan Gus Dur bilang begitu?,gus dur bilang,netral,Pertanyaan kapan Gus Dur mengatakan hal tersebut.
Kenang prankkk,kenang prankkk,netral,"Komentar sangat singkat/bercanda, tidak jelas sentimennya."
"Bung BINDER, satu2nya pundit yg cerdas dan selalu sesuai fakta dan netral.. harusnya pssi dengar bung binder bukan si towel tulul dan si justinuslaknat",binder pundit cerdas sesuai fakta netral pssi dengar binder si towel tulul si justinuslaknat,negatif,Memuji Bung Binder tetapi juga mengkritik PSSI dan pihak lain secara negatif.
Berduka cita atas kegagalan timnas Indonesia,duka cita gagal timnas indonesia,negatif,Berduka atas kegagalan Timnas.
menang parlay dia megang irak,menang parlay megang irak,negatif,Tuduhan menang parlay/judi.
Kurang uang kayak nya😅😂😂,uang,negatif,Tuduhan negatif soal uang.
Yakin sty bisa bawa timnas masuk piala dunia,sty bawa timnas masuk piala dunia,positif,Keyakinan/dukungan bahwa STY bisa membawa Timnas ke Piala Dunia.
"Makjulkan, dan ganti angkat abah kite!",makjulkan ganti angkat abah kite,netral,Komentar tidak jelas/berupa ajakan tanpa sentimen spesifik.
maroko PD tahun 2022 parkir bus sampe semi final. lawannya negara2 unggulan,maroko parkir bus sampe semi final lawan negara unggul,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
"It's not your faul tom, never give up i'ts not end world",its not your faul tom never give up its not end world,positif,Dukungan kepada Tom dan ajakan tidak menyerah.
"Di negeri ini memang sudah tabiat nya mengganti yg tidak rusak, merusak yg sudah baik, membiarkan yg sudah lama rusak.",negeri tabiat ganti rusak rusak biar rusak,negatif,Kritik terhadap kebiasaan merusak yang sudah baik.
